filename,label
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_08__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_08__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_08__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_08__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_09__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_09__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_09__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_09__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_10__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_10__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_10__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_10__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_11__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_11__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_11__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_11__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_12__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_12__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_12__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_12__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_13__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_13__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_13__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_13__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_14__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_14__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_14__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_14__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_15__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_15__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_15__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_15__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_16__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_16__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_16__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_16__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_17__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_17__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_17__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_17__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_18__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_18__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_18__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_18__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_21__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_21__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_21__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_21__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_31__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_31__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_31__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_31__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_32__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_32__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_32__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_32__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_34__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_34__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_34__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_34__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_41__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_41__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_41__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_41__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_42__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_42__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_42__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_42__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_44__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_44__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_44__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_44__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_01__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_01__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_01__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_01__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_02__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_02__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_02__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_02__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_03__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_03__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_03__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_03__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_04__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_04__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_04__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_04__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_05__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_05__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_05__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_05__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_06__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_06__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_06__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_06__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_07__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_07__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_07__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_07__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_08__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_08__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_08__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_08__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_09__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_09__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_09__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_09__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_10__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_10__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_10__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_10__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_11__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_11__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_11__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_11__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_12__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_12__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_12__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_12__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_13__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_13__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_13__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_13__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_14__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_14__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_14__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_14__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_15__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_15__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_15__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_15__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_16__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_16__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_16__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_16__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_17__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_17__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_17__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_17__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_18__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_18__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_18__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_18__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_01__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_01__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_01__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_01__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_02__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_02__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_02__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_02__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_03__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_03__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_03__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_03__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_04__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_04__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_04__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_04__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_05__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_05__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_05__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_05__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_06__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_06__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_06__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_06__O2__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_07__O0__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_07__O0__good,0
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_07__O2__bad,1
CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove_07__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_01__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_01__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_01__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_01__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_02__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_02__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_02__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_02__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_03__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_03__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_03__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_03__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_04__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_04__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_04__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_04__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_05__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_05__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_05__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_05__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_06__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_06__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_06__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_06__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_07__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_07__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_07__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_07__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_08__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_08__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_08__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_08__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_09__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_09__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_09__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_09__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_10__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_10__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_10__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_10__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_11__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_11__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_11__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_11__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_12__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_12__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_12__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_12__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_13__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_13__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_13__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_13__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_14__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_14__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_14__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_14__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_15__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_15__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_15__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_15__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_16__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_16__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_16__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_16__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_17__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_17__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_17__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_17__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_18__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_18__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_18__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_18__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_21__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_21__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_21__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_21__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_31__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_31__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_31__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_31__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_32__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_32__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_32__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_32__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_34__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_34__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_34__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_34__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_41__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_41__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_41__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_41__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_42__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_42__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_42__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_42__O2__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_44__O0__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_44__O0__good,0
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_44__O2__bad,1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_44__O2__good,0
CWE190_Integer_Overflow__char_fscanf_add_01__O0__bad,1
CWE190_Integer_Overflow__char_fscanf_add_01__O0__good,0
CWE190_Integer_Overflow__char_fscanf_add_01__O2__bad,1
CWE190_Integer_Overflow__char_fscanf_add_01__O2__good,0
CWE190_Integer_Overflow__char_fscanf_add_02__O0__bad,1
CWE190_Integer_Overflow__char_fscanf_add_02__O0__good,0
CWE190_Integer_Overflow__char_fscanf_add_02__O2__bad,1
CWE190_Integer_Overflow__char_fscanf_add_02__O2__good,0
CWE190_Integer_Overflow__char_fscanf_add_03__O0__bad,1
CWE190_Integer_Overflow__char_fscanf_add_03__O0__good,0
CWE190_Integer_Overflow__char_fscanf_add_03__O2__bad,1
CWE190_Integer_Overflow__char_fscanf_add_03__O2__good,0
CWE190_Integer_Overflow__char_fscanf_add_04__O0__bad,1
CWE190_Integer_Overflow__char_fscanf_add_04__O0__good,0
CWE190_Integer_Overflow__char_fscanf_add_04__O2__bad,1
CWE190_Integer_Overflow__char_fscanf_add_04__O2__good,0
CWE190_Integer_Overflow__char_fscanf_add_05__O0__bad,1
CWE190_Integer_Overflow__char_fscanf_add_05__O0__good,0
CWE190_Integer_Overflow__char_fscanf_add_05__O2__bad,1
CWE190_Integer_Overflow__char_fscanf_add_05__O2__good,0
CWE190_Integer_Overflow__char_fscanf_add_06__O0__bad,1
CWE190_Integer_Overflow__char_fscanf_add_06__O0__good,0
CWE190_Integer_Overflow__char_fscanf_add_06__O2__bad,1
CWE190_Integer_Overflow__char_fscanf_add_06__O2__good,0
CWE190_Integer_Overflow__char_fscanf_add_07__O0__bad,1
CWE190_Integer_Overflow__char_fscanf_add_07__O0__good,0
CWE190_Integer_Overflow__char_fscanf_add_07__O2__bad,1
CWE190_Integer_Overflow__char_fscanf_add_07__O2__good,0
CWE190_Integer_Overflow__char_fscanf_add_08__O0__bad,1
CWE190_Integer_Overflow__char_fscanf_add_08__O0__good,0
CWE190_Integer_Overflow__char_fscanf_add_08__O2__bad,1
CWE190_Integer_Overflow__char_fscanf_add_08__O2__good,0
CWE190_Integer_Overflow__char_fscanf_add_09__O0__bad,1
CWE190_Integer_Overflow__char_fscanf_add_09__O0__good,0
CWE190_Integer_Overflow__char_fscanf_add_09__O2__bad,1
CWE190_Integer_Overflow__char_fscanf_add_09__O2__good,0
CWE190_Integer_Overflow__char_fscanf_add_10__O0__bad,1
CWE190_Integer_Overflow__char_fscanf_add_10__O0__good,0
CWE190_Integer_Overflow__char_fscanf_add_10__O2__bad,1
